No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
17,10/02/26,Conclave,English,2024,,,Home,Edward Berger,120 min,"Drama, Thriller",7.189,2024,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",Found,0
16,10/02/26,With Love,Tamil,2026,,2.0,Theatre,Madhan,140 min,"Romance, Comedy",6.5,2026,"Sathya reluctantly agrees to a blind date arranged by his sister and meets Monisha. They discover they attended the same school years ago. Bonding over shared memories and old crushes, they reconnect with their past and grow closer.",Found,0
15,09/02/26,With Love,Tamil,2026,,1.0,Theatre,Madhan,140 min,"Romance, Comedy",6.5,2026,"Sathya reluctantly agrees to a blind date arranged by his sister and meets Monisha. They discover they attended the same school years ago. Bonding over shared memories and old crushes, they reconnect with their past and grow closer.",Found,0
14,04/02/26,Wedding Crashers,English,2005,,,Home,David Dobkin,119 min,"Comedy, Romance",6.493,2005,"John and his buddy Jeremy are emotional criminals who know how to use a woman's hopes and dreams for their own carnal gain. Their modus operandi: crashing weddings. Normally, they meet guests who want to toast the romantic day with a random hook-up. But when John meets Claire, he discovers what true love – and heartache – feels like.",Found,0
13,03/02/26,Sirai,Tamil,2025,,,Home,Suresh Rajakumari,124 min,"Drama, Romance",7.0,2025,"As he transfers a young convict from prison to court, a police officer learns about the chain of events that led to the young man's conviction for violence.",Found,0
12,01/02/26,Mankatha,Tamil,2011,,2.0,Theatre,Venkat Prabhu,161 min,"Action, Thriller",6.8,2011,"Vinayak, a suspended cop, helps a group of four men rob cricket betting money amounting to 500 crores INR. When it comes to splitting the amount, betrayal hits the team hard and a chase ensues.",Found,0
11,28/01/26,Zootopia 2,English,2025,,,Home,"Jared Bush, Byron Howard",108 min,"Animation, Comedy, Adventure, Family, Mystery",7.6,2025,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",Found,0
10,18/01/26,She's Out of My League,English,2010,,4.0,Home,Jim Field Smith,104 min,"Romance, Comedy",6.481,2010,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",Found,0
9,16/01/26,Rental Family,Japanese,2025,,,Home,Hikari,110 min,"Comedy, Drama",7.9,2025,"An American actor in Tokyo struggles to find purpose until he lands an unusual gig: working for a Japanese 'rental family' agency, playing stand-in roles for strangers. As he immerses himself in his clients' worlds, he begins to form genuine bonds that blur the lines between performance and reality.",Found,0
8,14/01/26,People We Meet on Vacation,English,2026,,,Home,Brett Haley,116 min,"Romance, Comedy, Drama",7.0,2026,"Poppy's a free spirit. Alex loves a plan. After years of summer vacations, these polar-opposite pals wonder if they could be a perfect romantic match.",Found,0
7,11/01/26,Meri Pyaari Bindu,Hindi,2017,,3.0,Home,Akshay Roy,119 min,"Drama, Romance",6.2,2017,Abhimanyu Roy is stuck with writer's block until he decides to re-live the memories of his childhood sweetheart Bindu who aspires to be a successful singer and struggles to give Abhi the one thing he craves - stability.,Found,0
6,08/01/26,The Holiday,English,2006,,,Home,Nancy Meyers,136 min,"Comedy, Romance",7.099,2006,"Two women, one American and one British, swap homes at Christmastime following bad breakups. Each woman finds romance with a local man but realizes that the imminent return home may end the relationship.",Found,0
5,07/01/26,Perfect Days,Japanese,2023,,,Home,Wim Wenders,124 min,Drama,7.8,2023,"Hirayama is content with his life as a toilet cleaner in Tokyo. Outside of his structured routine, he cherishes music on cassette tapes, books, and taking photos of trees. Through unexpected encounters, he reflects on finding beauty in the world.",Found,0
4,06/01/26,Predator: Badlands,English,2025,,,Home,Dan Trachtenberg,107 min,"Action, Science Fiction, Adventure",7.8,2025,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",Found,0
3,05/01/26,120 Bahadur,Hindi,2025,,,Home,Razneesh Ghai,137 min,"Action, War",6.4,2025,"Valiant Indian soldiers fight against Chinese troops during the 1962 Sino-Indian War, preventing a potential occupation of Ladakh region in the Battle of Rezang La.",Found,0
2,05/01/26,"Sorry, Baby",English,2025,,,Home,Eva Victor,104 min,"Drama, Comedy",6.845,2025,"Agnes feels stuck. Unlike her best friend, Lydie, who’s moved to New York and is now expecting a baby, Agnes still lives in the New England house they once shared as graduate students, now working as a professor at her alma mater. A ‘bad thing’ happened to Agnes a few years ago and, since then, despite her best efforts, life hasn’t gotten back on track.",Found,0
1,03/01/26,Om Shanti Om ,Hindi,2007,,,Home,Farah Khan,169 min,"Comedy, Thriller, Drama",7.1,2007,"Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze.",Found,0
132,28/12/25,Baahubali 2: The Conclusion,Telugu,2017,,,Home,S. S. Rajamouli,167 min,"Action, Adventure, Fantasy",7.46,2017,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Found,0
131,28/12/25,Baahubali: The Beginning,Telugu,2015,,,Home,S. S. Rajamouli,159 min,"Action, Drama",7.523,2015,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",Found,0
130,23/12/25,Eternity,English,2025,,,Home,David Freyne,114 min,"Romance, Comedy, Drama",6.985,2025,"In an afterlife where souls have one week to decide where to spend eternity, Joan is faced with the impossible choice between the man she spent her life with and her first love, who died young and has waited decades for her to arrive.",Found,0
129,22/12/25,Avatar: Fire and Ash,English,2025,,,Theatre,James Cameron,198 min,"Science Fiction, Adventure, Fantasy",7.299,2025,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",Found,0
128,21/12/25,Dhurandhar,Hindi,2025,,,Theatre,Aditya Dhar,212 min,"Action, Thriller",6.9,2025,"In the early 2000s, an Indian undercover operative infiltrates Karachi’s underworld, breaking into its inner circle to dismantle a violent nexus from within.",Found,0
127,19/12/25,Sisu: Road to Revenge,Finnish,2025,,,Home,Jalmari Helander,89 min,"Action, War",7.398,2025,"Returning to the house where his family was brutally murdered during the war, ""the man who refuses to die"" dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",Found,0
126,17/12/25,Aaromaley,Tamil,2025,,,Home,Sarang Thiagu,127 min,"Comedy, Romance, Drama",7.5,2025,"Ajith, a romantic dreamer faces reality when forced to work at a matchmaking agency under Anjali,a pragmatic, grounded woman, devoid of dreamy illusions. Their conflicting ideologies become the foundation of a relationship that’s as charming as it is unfiltered.",Found,0
125,16/12/25,Now You See Me: Now You Don't,English,2025,,,Home,Ruben Fleischer,113 min,"Thriller, Crime, Mystery",6.6,2025,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",Found,0
124,14/12/25,Wake Up Dead Man: A Knives Out Mystery,English,2025,,,Home,Rian Johnson,145 min,"Thriller, Mystery, Comedy",7.208,2025,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",Found,0
123,30/11/25,Regretting You,English,2025,,,Home,Josh Boone,116 min,"Romance, Drama",6.898,2025,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",Found,0
122,30/11/25,Bugonia,English,2025,,,Home,Yorgos Lanthimos,119 min,"Science Fiction, Thriller, Comedy",7.366,2025,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",Found,0
121,29/11/25,Aaryan,Tamil,2025,,,Home,Praveen K.,134 min,"Action, Thriller, Crime",5.6,2025,"A struggling writer announces he'll commit the perfect crime, sparking a tense pursuit as police try to prevent his methodically planned killing spree.",Found,0
120,25/11/25,The Age of Disclosure,English,2025,,,Home,Dan Farah,109 min,Documentary,7.659,2025,"Director Dan Farah got 34 senior members of the U.S. Government, military, and intelligence community to come on camera. He says they reveal an 80 year cover-up of the existence of non-human intelligent life and a secret war amongst major nations to reverse engineer technology of non-human origin. The film explores the profound impact the situation has on the future of humanity, while providing a look behind-the-scenes with those at the forefront of the bi-partisan disclosure effort.",Found,0
119,24/11/25,While You Were Sleeping,English,1995,,,Home,Jon Turteltaub,103 min,"Romance, Comedy",7.022,1995,"A transit worker pulls commuter Peter off railway tracks after he's mugged, but—while he's in a coma—his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",Found,0
118,01/11/25,Klaus,English,2019,,2.0,Home,Sergio Pablos,97 min,"Animation, Family, Adventure, Comedy, Fantasy",8.224,2019,"A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",Found,0
117,30/10/25,Senna,English,2010,,,Home,Asif Kapadia,106 min,Documentary,8.111,2010,"The remarkable story of Brazilian racing driver Ayrton Senna, charting his physical and spiritual achievements on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later.",Found,0
116,27/10/25,Bullet Train Explosio,Japanese,2025,,,Home,Shinji Higuchi,137 min,"Action, Thriller, Crime, Drama",6.843,2025,"When panic erupts on a Tokyo-bound bullet train that will explode if it slows below 100 kph, authorities race against time to save everyone on board.",Found,0
115,27/10/25,Revenge,French,2017,,,Home,Coralie Fargeat,108 min,"Action, Horror, Thriller",6.507,2018,Jen's romantic getaway with her wealthy married boyfriend is disrupted when his friends arrive for an impromptu hunting trip. Tension mounts at the house until the situation culminates in an unexpected way.,Found,1
114,25/10/25,A House of Dynamite,English,2025,,,Home,Kathryn Bigelow,112 min,Thriller,6.4,2025,"When a single, unattributed missile is launched at the United States, a race begins to determine who is responsible and how to respond.",Found,0
113,21/10/25,The Roses,English,2025,,,Home,Jay Roach,105 min,"Comedy, Drama",6.716,2025,"Life seems easy for picture-perfect couple Ivy and Theo: successful careers, a loving marriage, great kids. But beneath the façade of their supposed ideal life, a storm is brewing – as Theo's career nosedives while Ivy's own ambitions take off, a tinderbox of fierce competition and hidden resentment ignites.",Found,0
112,20/10/25,The Astronaut,English,2025,,,Home,Jess Varley,90 min,"Science Fiction, Horror, Thriller",5.667,2025,"After returning from her first space mission, astronaut Sam Walker is placed under NASA’s care at a high security house for rehabilitation and medical testing. However, when disturbing occurrences begin happening around the property, she fears that something extraterrestrial has followed her back to Earth",Found,0
111,19/10/25,C/o Kancharapalem,Telugu,2018,,,Home,Venkatesh Maha,152 min,"Drama, Romance",7.167,2018,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",Found,0
110,12/10/25,Caught Stealing,English,2025,,,Home,Darren Aronofsky,107 min,"Crime, Thriller, Comedy",6.911,2025,"Burned-out ex-baseball player Hank Thompson unexpectedly finds himself embroiled in a dangerous struggle for survival amidst the criminal underbelly of late 1990s New York City, forced to navigate a treacherous underworld he never imagined.",Found,0
109,12/10/25,The Baltimorons,English,2025,,,Home,Jay Duplass,101 min,"Comedy, Drama, Romance",6.028,2025,A newly sober man's Christmas Eve dental emergency leads to an unexpected romance with his older dentist as they explore Baltimore together.,Found,0
108,12/10/25,The Woman in Cabin 10,English,2025,,,Home,Simon Stone,95 min,"Mystery, Thriller, Crime",6.202,2025,"On a lavish yacht for an assignment, a journalist sees a passenger go overboard. But when no one believes her, she risks her life to uncover the truth.",Found,0
107,11/10/25,One Battle After Another,English,2025,,,Theatre,Paul Thomas Anderson,162 min,"Thriller, Crime, Action",7.421,2025,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",Found,0
106,11/10/25,Tron: Ares,English,2025,,,Theatre,Joachim Rønning,119 min,"Science Fiction, Adventure, Action",6.508,2025,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",Found,0
105,10/10/25,Kantara: A Legend - Chapter 1,Kannada,2025,,,Home,Rishab Shetty,165 min,"Action, Drama, Fantasy",7.017,2025,"During the Kadamba reign, King Vijayendra, the ruler of the fictional feudatory land of Bangra, meets his final fate while venturing into the mystical forest of Kantara. Witnessing this, his son Rajashekara seals the borders of their realm. Later, Prince Kulashekara reopens them through a brutal massacre. The protagonist, Berme, in search of prosperity, crosses the divide and ignites a conflict of faith, power, and destiny between the Kingdom and Nature.",Found,0
104,07/10/25,The Lost Bus,English,2025,,,Home,Paul Greengrass,130 min,"Drama, Thriller",7.1,2025,A determined father risks everything to rescue a dedicated teacher and her students from a raging wildfire.,Found,0
103,21/09/25,Mirai,Telugu,2025,,,Theatre,Karthik Ghattamaneni,166 min,"Action, Adventure, Fantasy",6.4,2025,"Following the historic Kalinga battle, where King Ashoka of the Maurya dynasty emerged as the winner, he chose to walk the path of peace instead of continuing warfare. Yet, the kingdom appointed nine warriors to protect some ancient scriptures rumored to have the ability to make someone divine or godlike.",Found,0
102,14/09/25,Lokah: Chapter 1 - Chandra,Tamil,2025,,3,Theatre,Dominic Arun,151 min,"Action, Adventure, Fantasy",7.7,2025,"The story follows Chandra , a mysterious, goth-influenced woman who has just moved to Bangalore and begins working night shifts at a café. Across the road from her apartment live Sunny and Venu, two aimless bachelors. Sunny becomes infatuated with Chandra, observing her odd routines, strange visitors, and reclusive nature. Their dynamic changes when Sunny gets a glimpse of Chandra in her act.",Found,
101,10/09/25,Weapons,English,2025,,,Home,Zach Cregger,129 min,"Horror, Mystery",7.3,2025,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",Found,0
100,10/09/25,Su from So,Kannada,2025,,,Home,JP Tuminad,135 min,"Comedy, Horror",7.6,2025,"In a peaceful village full of joy, laughter, and vibrant life, everything seems perfect—until one day, the devil arrives. What follows is a hilarious chain of events that flips the entire village upside down!",Found,
99,07/09/25,Police Destination Oasis,English,1981,,,Home,José Jara,94 min,"Drama, Action",2.2,1981,"Freewheeling female friends Annie and Nadine are snatched during a night of rump-shaking discotheque shenanigans by an evil slavery ring. Drugged and gagged, the gals wake up in the ""Oasis"", a clandestine bordello nestled deep in the African Congo where they - and a gaggle of girl prisoners from all over the world.",Found,
98,07/09/25,Bad Girl,Tamil,2025,,,Theatre,Varsha Bharath,112 min,"Romance, Drama",7.5,2025,"From her journey through high school and college, then out into the wider world, Ramya’s dream of finding the perfect guy is obstructed by societal mores, strict parents, unrequited love and the untrammeled chaos of her own mind.",Found,0
97,06/09/25,Coolie,Tamil,2025,,2,Home,Lokesh Kanagaraj,170 min,"Action, Thriller, Crime",6.3,2025,"Deva, once living a quiet life, is shaken when his close friend dies under suspicious circumstances. Determined to uncover the truth, he infiltrates a powerful gang operating in the shadows. As he investigates, Deva becomes entangled in a dangerous web of crime, betrayal, and secrets from his own past, forcing him to confront powerful enemies while protecting the ones he loves.",Found,
96,06/09/25,Unknown Number The High School Catfish,English,2025,,,Home,Skye Borgman,94 min,Documentary,6.923,2025,"Vulgar, taunting texts blow up the phones of a teen and her boyfriend. Who's sending them — and why? This twisty documentary reveals the shocking answer.",Found,
95,04/09/25,Kumbalangi Nights,Malayalam,2019,,2,Home,Madhu C. Narayanan,135 min,"Comedy, Drama, Romance",8.028,2019,"Four brothers living in the fishing hamlet of Kumbalangi share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney and Franky decide to help Bobby stand by his love.",Found,
91,03/09/25,Nobody 2,English,2025,,,Home,Timo Tjahjanto,89 min,"Action, Thriller",6.994,2025,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",Found,0
94,01/09/25,Lokah: Chapter 1 - Chandra,Malayalam,2025,,2,Theatre,Dominic Arun,151 min,"Action, Adventure, Fantasy",7.7,2025,"The story follows Chandra , a mysterious, goth-influenced woman who has just moved to Bangalore and begins working night shifts at a café. Across the road from her apartment live Sunny and Venu, two aimless bachelors. Sunny becomes infatuated with Chandra, observing her odd routines, strange visitors, and reclusive nature. Their dynamic changes when Sunny gets a glimpse of Chandra in her act.",Found,
93,30/08/25,Lokah: Chapter 1 - Chandra,Malayalam,2025,,,Theatre,Dominic Arun,151 min,"Action, Adventure, Fantasy",7.7,2025,"The story follows Chandra , a mysterious, goth-influenced woman who has just moved to Bangalore and begins working night shifts at a café. Across the road from her apartment live Sunny and Venu, two aimless bachelors. Sunny becomes infatuated with Chandra, observing her odd routines, strange visitors, and reclusive nature. Their dynamic changes when Sunny gets a glimpse of Chandra in her act.",Found,
92,29/08/25,Odum Kuthira Chadum Kuthira,Malayalam,2025,,,Theatre,Althaf Salim,153 min,"Drama, Romance, Comedy",5.5,2025,"Jilted at his wedding, Aby encounters a reserved woman needing help. As they heal together, his ex returns with newfound insight into his dreams. A hidden truth leads Aby to find peace.",Found,
90,29/08/25,The Thursday Murder Club,English,2025,,,Home,Chris Columbus,118 min,"Comedy, Mystery, Crime",6.664,2025,A group of senior sleuths passionate about solving cold cases get plunged into a real-life murder mystery in this comic crime caper.,Found,
89,29/08/25,Oh Hi,English,2025,,,Home,Sophie Brooks,95 min,"Romance, Comedy, Thriller",6.352,2025,"Iris and Isaac's first weekend away as a couple is going so well — until Isaac mentions he didn’t know they were a couple. Convinced she's met her perfect guy and that he's just confused, Iris goes to increasingly ridiculous and irrational lengths to prove to Isaac that they are meant to be together.",Found,0
88,29/08/25,Never Rarely Sometimes Always,English,2020,,,Home,Eliza Hittman,101 min,Drama,7.158,2020,A pair of teenage girls in rural Pennsylvania travel to New York City to seek out medical help after an unintended pregnancy.,Found,
87,26/08/25,Kathal - A Jackfruit Mystery,Hindi,2023,,2,Home,Yashowardhan Mishra,115 min,"Mystery, Comedy, Crime, Drama",6.0,2023,"When two prized jackfruits disappear from a politician's garden, a spirited cop's investigation takes an unexpected turn as she digs for the truth.",Found,
86,26/08/25,Kaithi,Tamil,2019,,2,Home,Lokesh Kanagaraj,147 min,"Action, Thriller, Crime",7.574,2019,"Dilli, a convicted criminal, is out on parole to meet his daughter. However, a drug bust sets him off on a mission to save the life of police officers.",Found,
85,25/08/25,Maareesan,Tamil,2025,,,Home,Sudheesh Shankar,152 min,"Thriller, Drama, Action",7.9,2025,"A petty thief embarks on a road trip with an elderly man suffering from memory loss under deceptive pretenses. As they journey across Tamil Nadu, the promise of an easy con unravels into a quietly shifting connection, with both men hiding secrets of their own.",Found,
84,25/08/25,Talk to Me,English,2022,,,Home,"Danny Philippou, Michael Philippou",95 min,Horror,7.141,2023,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",Found,1
83,22/08/25,Kadhalum Kadandhu Pogum,Tamil,2016,,3,Home,Nalan Kumarasamy,136 min,"Comedy, Drama, Romance",7.2,2016,"A small-time rowdy fresh out of prison and a runaway woman seeking a new life in Chennai become unexpected neighbors. Bound by loneliness, they form an unusual bond—one that teeters between friendship and love. As they navigate their struggles together, their lives take a heartwarming turn in this charming romantic comedy-drama.",Found,
82,21/08/25,Kathal - A Jackfruit Mystery,Hindi,2023,,,Home,Yashowardhan Mishra,115 min,"Mystery, Comedy, Crime, Drama",6.0,2023,"When two prized jackfruits disappear from a politician's garden, a spirited cop's investigation takes an unexpected turn as she digs for the truth.",Found,
80,21/08/25,F1 The Movie,English,2025,,2,Home,Joseph Kosinski,156 min,"Action, Drama",7.829,2025,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,Found,
79,18/08/25,Mission Impossible - The Final Reckoning,English,2025,,,Home,Christopher McQuarrie,170 min,"Action, Adventure, Thriller",7.263,2025,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",Found,
78,16/08/25,Pannaiyarum Padminiyum,Tamil,2014,,,Home,S. U. Arunkumar,147 min,"Comedy, Family, Drama",7.3,2014,"A kind and respected village landlord acquires a vintage Premier Padmini car from his friend and cherishes it more than anything else. Over time, the entire village grows attached to the car, forming an emotional bond with it. His wife, however, refuses to ride in it until he learns to drive, so he decides to surprise her with a ride on their wedding anniversary. But before he can fulfill his promise, the car is taken away due to unforeseen circumstances. Will they ever get it back? A deeply emotional tale of love, nostalgia, and the heartfelt connection between an elderly couple and their cherished car.",Found,
77,15/08/25,Superman,English,2025,,,Home,James Gunn,130 min,"Science Fiction, Adventure, Action",7.37,2025,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",Found,0
76,14/08/25,Coolie,Tamil,2025,,,Home,Lokesh Kanagaraj,170 min,"Action, Thriller, Crime",6.3,2025,"Deva, once living a quiet life, is shaken when his close friend dies under suspicious circumstances. Determined to uncover the truth, he infiltrates a powerful gang operating in the shadows. As he investigates, Deva becomes entangled in a dangerous web of crime, betrayal, and secrets from his own past, forcing him to confront powerful enemies while protecting the ones he loves.",Found,
75,10/08/25,Premam,Malayalam,2015,,2,Home,Alphonse Puthren,157 min,"Comedy, Romance",7.481,2015,"Three stages in George's life, and three girls he encounters in each stage.",Found,
74,09/08/25,The Death of Superman,English,2018,,,Home,"Jake Castorena, Sam Liu",81 min,"Science Fiction, Animation, Action, Drama, Fantasy",7.387,2018,"When a hulking monster arrives on Earth and begins a mindless rampage, the Justice League is quickly called in to stop it. But it soon becomes apparent that only Superman can stand against the monstrosity.",Found,
73,08/08/25,Nimona,English,2023,,,Home,"Nick Bruno, Troy Quane",101 min,"Animation, Family, Action, Science Fiction, Adventure, Fantasy, Drama",7.866,2023,"A knight framed for a tragic crime teams with a scrappy, shape-shifting teen to prove his innocence.",Found,
72,06/08/25,Jurassic World Rebirth,English,2025,,,Home,Gareth Edwards,134 min,"Science Fiction, Adventure, Action",6.315,2025,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",Found,0
71,03/08/25,"Crazy, Stupid, Love",English,2011,,5,Home,"Glenn Ficarra, John Requa",118 min,"Comedy, Drama, Romance",7.27,2011,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",Found,
70,30/07/25,28 Years Later,English,2025,,,Home,Danny Boyle,115 min,"Horror, Thriller, Science Fiction",6.72,2025,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",Found,
69,27/07/25,The Tomorrow War,English,2021,,,Home,Chris McKay,138 min,"Action, Science Fiction, Adventure",7.489,2021,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",Found,
68,26/07/25,Kapoor & Sons,Hindi,2016,,2,Home,Shakun Batra,137 min,"Drama, Romance, Comedy, Family",7.033,2016,"Returning home to visit their ill grandfather, two estranged brothers must confront their unresolved rivalry while their parents’ marriage frays.",Found,
67,23/07/25,Dangerous Animals,English,2025,,,Home,Sean Byrne,98 min,"Horror, Thriller",6.451,2025,"A savvy and free-spirited surfer is abducted by a shark-obsessed serial killer. Held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.",Found,
66,23/07/25,Materialists,English,2025,,,Home,Celine Song,116 min,"Romance, Drama",6.55,2025,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.",Found,
65,20/07/25,Bullet Train,English,2022,,,Home,David Leitch,126 min,"Action, Comedy, Thriller",7.417,2022,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",Found,0
64,20/07/25,Rush,English,2013,,,Home,Ron Howard,123 min,"Drama, Action",7.731,2013,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.",Found,0
63,17/07/25,Maranamass,Malayalam,2025,,,Home,Sivaprasad,139 min,"Comedy, Crime, Thriller",6.1,2025,An unlikely group of people become trapped on a bus with a man they do not realise is the serial killer terrorising their community.,Found,
62,17/07/25,Memories of Murder,Korean,2003,,,Home,Bong Joon Ho,131 min,"Crime, Drama, Thriller",8.058,2003,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",Found,
61,16/07/25,Get Out,English,2017,,2,Home,Jordan Peele,104 min,"Mystery, Thriller, Horror",7.622,2017,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",Found,0
60,15/07/25,Nice Guys,English,2016,,2,Home,Shane Black,116 min,"Comedy, Crime, Action",7.125,2016,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,Found,
59,06/07/25,Kadaisi Vivasayi,Tamil,2021,,,Home,M. Manikandan,145 min,Drama,8.6,2022,"Maayandi, the only farmer in a village that has abandoned farming, is charged with a petty case that leads to his imprisonment.",Found,
58,04/07/25,28 Weeks Later,English,2007,,,Home,Juan Carlos Fresnadillo,99 min,"Horror, Thriller, Science Fiction",6.608,2007,"Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",Found,0
