No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
38,29/07/23,Oppenheimer,English,2023,Good,,Theatre,Christopher Nolan,181 min,"Drama, History",8.035,2023,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,Found,0
37,27/07/23,Unknown: Cosmic Time Machine,English,2023,,,Home,Shai Gal,64 min,Documentary,7.582,2023,"A unique behind-the-scenes access to NASA’s ambitious mission to launch the James Webb Space Telescope, following a team of engineers and scientists as they take the next giant leap in our quest to understand the universe.",Found,
36,18/07/23,Transformers: Rise of the Beasts,English,2023,,,Home,Steven Caple Jr.,127 min,"Science Fiction, Adventure, Action",7.21,2023,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",Found,
35,10/07/23,Guardians of the Galaxy Vol. 3,English,2023,,,Home,James Gunn,150 min,"Science Fiction, Adventure, Action",7.928,2023,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",Found,0
34,08/07/23,The Guardians of the Galaxy Holiday Special,English,2022,,,Home,James Gunn,45 min,"Comedy, Science Fiction, Adventure",7.107,2022,"On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",Found,
33,08/07/23,Good Night,Tamil,2023,,,Home,Vinayak Chandrasekaran,144 min,"Comedy, Drama",7.262,2023,"Mohan, an IT youngster with a snoring issue starts his life with Anu, the girl of his dreams, hiding his issue. However, trouble begins, when his snoring starts affecting his life and the health of his partner.",Found,0
32,08/06/23,The Age of Adaline,English,2015,Good,,Home,Lee Toland Krieger,112 min,"Romance, Fantasy, Drama",7.477,2015,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",Found,
31,07/06/23,"Are You There God? It's Me, Margaret.",English,2023,,,Home,Kelly Fremon Craig,106 min,"Comedy, Drama",7.206,2023,"When her family moves from New York City to New Jersey, an 11-year-old girl navigates new friends, feelings, and the beginning of adolescence.",Found,
30,05/06/23,Pachuvum Athbutha Vilakkum,Malayalam,2023,,,Home,Akhil Sathyan,171 min,"Comedy, Drama",6.5,2023,"In return for getting ownership his shop space in Mumbai, Prakashan is tempted into helping his landlord's mother on a mission. Will he succeed? What does success mean?",Found,
29,24/05/23,John Wick: Chapter 4,English,2023,,,Home,Chad Stahelski,170 min,"Action, Thriller, Crime",7.719,2023,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Found,
28,22/05/23,Ponniyin Selvan: II,Tamil,2023,,,Home,Mani Ratnam,164 min,"Action, Adventure, History, Drama",6.4,2023,"968 AD. The Pandyan assassins gather once again to destroy the Chola dynasty. Now the mighty Chola princes must fight the Pandyas, the Rashtrakutas and other Chola enemies who have joined forces. Also, at play are the rumours of Ponniyin Selvan’s death at sea, the powerful Pazhuvettarayar’s betrayal, and the tragic destiny of Aditha Karikalan, whose heart was long lost to the vengeful Nandini.",Found,
27,20/05/23,Guy Ritchie's The Covenant,English,2023,,,Home,Guy Ritchie,123 min,"War, Action, Thriller",7.734,2023,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",Found,
26,20/05/23,The Super Mario Bros. Movie,English,2023,,,Home,"Aaron Horvath, Michael Jelenic",93 min,"Family, Comedy, Adventure, Animation, Fantasy",7.595,2023,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",Found,0
